HOUR,TOTALLOAD,WIND,SOLAR,PRICE
427,53484.43192,11223.347058,0.0,50.82
428,53362.05668,12739.9367,0.0,42.93
429,51952.03053,13603.342394,0.0,36.41
430,49297.54202,13879.882861,0.0,33.6
431,46951.27936,13409.655439,0.0,27.99
432,45387.90312,12670.471837,0.0,22.52
433,44602.52836,12485.11764,0.0,21.7
434,44351.25906,12522.017594,0.0,22.15
435,44333.21613,12494.774559,0.0,23.22
436,45203.80747,12718.804255,0.0,24.09
437,47556.87431,12990.443689,0.0,28.48
438,51297.22348,13093.678615,0.0,60.3
439,52168.83836,12902.500546,0.955128,55.03
440,50861.77974,12325.399728,210.098083,38.39
441,49781.33666,10025.080476,701.1157989999999,33.13
442,48454.04529,8683.015161,795.185711,28.12
443,46648.71152,8767.963246000001,805.753831,26.48
444,45031.72634,9674.820481,824.5059490000001,24.28
445,43476.25479,10307.025178,846.752342,22.81
446,42126.39064,10926.958716,850.0887059999999,20.18
447,41447.39762,11269.955936,818.4568059999999,19.43
448,41515.37223,11146.5235,656.7637589999999,21.51
449,42446.07903,11156.788887,196.336941,30.51
450,43824.75302,12947.305829,0.809704,33.02
451,43328.37247,14039.560824,0.0,26.08
452,42579.77904,14041.362371,0.0,23.85
453,41280.53586,14080.049726,0.0,23.23
454,39469.45003,14155.146607,0.0,21.16
455,37357.05084,13845.021935,0.0,17.6
456,35765.22417,13604.284774999998,0.0,16.34
457,34609.23761,13481.569892,0.0,15.65
458,33874.79664,13393.416042,0.0,15.26
459,33606.16171,13413.338055,0.0,14.99
460,33710.08525,13201.433144,0.0,16.21
461,34548.28538,12998.829545,0.0,17.72
462,35963.22566,12710.887087,0.0,25.06
463,37253.52784,12394.88938,0.5930519999999999,27.45
464,38026.10267,11817.724613,202.843496,30.01
465,38327.80484,9815.735572,696.915466,32.62
466,37754.85536,7163.5874730000005,800.694827,31.12
467,36753.46373,6376.504663,824.831632,32.67
468,35601.67489,7040.792125,836.7979429999999,25.2
469,34696.06548,9035.438659,862.839624,22.57
470,33976.53378,10446.320971,909.013474,22.34
471,33534.31262,11197.113432000002,887.229821,21.52
472,33509.27426,10962.971483,714.451949,21.03
473,34074.778,10030.153181,202.911727,27.91
474,35822.89977,12459.882024,0.691155,25.22
475,35884.39484,15130.567909,0.0,21.84
476,35303.49082,16020.994232999998,0.0,19.27
477,34590.44282,16181.632089,0.0,16.97
478,33262.7453,16279.159353,0.0,13.34
479,31667.00516,16062.385492,0.0,11.75
480,30172.65994,15297.066313,0.0,10.5
481,29093.76595,14674.20283,0.0,7.71
482,28380.77223,14228.547706,0.0,5.55
483,27977.21043,13888.522875,0.0,6.09
484,27894.10767,13770.722046,0.0,7.97
485,28241.03806,13788.462482,0.0,12.54
486,29060.18415,14290.914983,0.0,17.32
487,30005.05712,14873.109885,0.140263,17.98
488,31210.17167,14847.683293,171.784077,19.61
489,32473.39614,13619.766988,624.929586,21.69
490,33312.51152,13759.704381,756.534675,22.52
491,33921.54927,14495.872986,757.9240110000001,23.53
492,34240.57652,15213.812683,766.5155579999999,20.37
493,34323.25057,15868.194282,782.55083,19.29
494,34126.98686,15633.789078,837.800563,19.12
495,33987.49925,15570.956552,743.9538559999999,19.02
496,34141.98832,15394.321894,549.970845,19.65
497,35251.76712,15122.1191,168.134214,26.68
498,36863.61632,13821.592899,1.776356,33.85
499,37104.81892,13439.186276,0.0,25.79
500,36456.80751,13250.996088,0.0,21.17
501,35146.58542,13252.103122,0.0,21.88
502,33083.5609,13364.849781,0.0,18.29
503,30981.76252,13249.117609,0.0,16.15
504,29455.50083,12791.3975,0.0,14.24
505,28712.14465,12347.574573,0.0,14.32
506,28548.47184,11963.064407999998,0.0,14.72
507,28981.65992,12286.620217,0.0,16.46
508,30279.13923,12394.387448,0.0,17.82
509,33123.19907,12056.210144,0.0,18.21
510,37629.02231,12354.987295,0.0,29.17
511,39655.78659,11955.345552,3.283513,30.89
512,39082.90508,12023.937429,259.019114,29.59
513,38671.96958,11678.314771,888.391359,26.73
514,38442.61233,11977.311217,999.233662,23.15
515,37940.59969,12118.938532,997.114794,21.19
516,37298.84811,12185.651475,974.639351,20.84
517,36739.78397,12198.114503,984.586463,20.89
518,36116.19779,12165.845329,1011.668998,22.02
519,35662.1591,11244.680885999998,996.593936,22.27
520,35722.61355,9674.289967,832.706305,23.9
521,36845.31731,6914.371284,247.168264,33.2
522,39658.80478,4228.04804,1.93185,47.48
523,40504.2053,3355.0606099999995,0.0,31.77
524,40526.2278,2809.1427740000004,0.0,30.4
525,39735.47297,3058.380772,0.0,26.02
526,37921.40073,3081.769134,0.0,26.02
527,36198.6361,2859.353098,0.0,24.6
528,35331.05435,2727.3176930000004,0.0,21.56
529,35230.90585,2689.814793,0.0,20.72
530,35576.34535,2658.568634,0.0,20.73
531,36296.8921,2989.5332510000003,0.0,21.55
532,38005.26289,3275.447496,0.0,24.75
533,41529.619,3277.498648,0.0,27.28
534,46462.86079,2822.684979,0.0,48.92
535,48283.1727,2391.946233,2.301321,45.98
536,46687.97159,1911.603174,240.695817,34.31
537,44296.43076,1000.591389,767.736382,29.35
538,42006.91127,891.057497,926.150404,26.78
539,40003.80212,1283.395395,933.900053,24.17
540,38196.52744,1172.6831479999998,906.608385,23.72
541,36980.36254,966.74248,934.956307,22.25
542,36059.08917,780.878432,944.110183,21.97
543,35473.46653,745.517398,944.582446,21.91
544,35704.56714,902.381716,779.5108799999999,22.73
545,37001.60879,1208.996503,249.814908,31.35
546,40024.43912,1897.262589,2.112333,39.04
547,41059.68422,2994.691745,0.0,27.71
548,41372.43498,3550.312224,0.0,27.54
549,40780.14861,3324.527966000001,0.0,27.52
550,39130.80202,3237.184233,0.0,24.11
551,37500.89327,2993.3210240000003,0.0,22.51
552,36884.24784,2799.791734,0.0,22.91
553,36946.1799,2317.10134,0.0,21.36
554,37269.05602,1671.401789,0.0,21.56
555,38185.1559,1515.595816,0.0,21.64
556,39832.32747,1634.279512,0.0,24.1
557,43196.65942,1996.96007,0.0,29.66
558,48019.64966,2233.239307,0.0,66.17
559,49528.43087,2418.190153,3.909963,53.64
560,47491.78555,2683.087922,271.311425,31.27
561,44706.9951,2574.625455,885.294022,28.21
562,42197.85397,3098.905329,985.821019,26.41
563,40106.37576,4328.006176,995.736133,25.37
564,38341.72896,4786.474746,993.34812,24.45
565,37122.86031,4778.524778,1005.061348,23.12
566,36136.9532,4580.237596999999,1034.014812,21.12
567,35493.7209,4832.5588370000005,1024.60546,20.88
568,35552.4808,5521.140239,846.916798,22.01
569,36487.0387,5807.010447000001,264.199906,29.39
570,39411.24581,6702.012817000001,2.39935,35.55
571,40532.11675,8099.405197,0.0,28.98
572,40957.72002,9631.882687,0.0,26.9
573,40536.07036,10943.040878,0.0,24.49
574,38998.75222,11668.080386,0.0,21.54
575,37525.45891,12501.110004000002,0.0,19.42
576,36756.43101,12517.601288,0.0,18.33
577,36748.90626,12283.983977,0.0,18.04
578,37130.85713,11984.251531000002,0.0,18.48
579,37992.08507,11658.159097,0.0,19.51
580,39663.21344,11727.673183,0.0,22.33
581,43204.45148,12026.080798,0.0,22.57
582,48007.90607,12640.74273,0.0,44.09
583,49418.00913,13118.416452,4.420063,40.36
584,47355.91419,12573.193494,185.81491,29.82
585,44650.27292,11369.169118,510.820436,26.44
586,42422.10576,12524.683243,603.983336,24.77
587,40508.89964,13567.528449999998,741.3891669999999,23.49
588,39014.01199,14121.114881,664.063805,22.14
589,37925.81738,14164.152519,615.226407,21.06
590,37131.53764,13717.781553,720.687988,20.52
591,36698.74091,13392.419426,648.980654,20.32
592,36984.43015,12833.006926,555.660846,20.77
593,38258.09251,12095.641729,207.61502,27.07
594,40723.16222,12654.367976,2.346308,34.49
595,41295.98403,13499.863344,0.0,24.1
596,41008.96879,14160.359755,0.0,21.96
597,39737.69319,14581.143159,0.0,20.18
598,37246.75366,14541.062505000002,0.0,17.88
599,35133.52837,14424.747624,0.0,15.51
600,33770.18206,14095.923157,0.0,15.3
601,33093.24836,13879.765747,0.0,14.98
602,32761.25439,13630.867093,0.0,15.27
